,sigla_uf_residencia,idade_paciente,sexo_paciente,raca_cor_paciente,gestante_paciente,possui_doenca_autoimune,possui_diabetes,possui_doencas_hematologicas,possui_hepatopatias,possui_doenca_renal,possui_hipertensao,possui_doenca_acido_peptica,apresenta_febre,apresenta_cefaleia,apresenta_exantema,apresenta_dor_costas,apresenta_mialgia,apresenta_vomito,apresenta_conjutivite,apresenta_dor_retroorbital,apresenta_artralgia,apresenta_artrite,apresenta_leucopenia,apresenta_petequias,prova_laco,dias_sintomas_notificacao,class
count,235662,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662.0,235662
unique,5,,,,,,,,,,,,,,,,,,,,,,,,,,1
top,SE,,,,,,,,,,,,,,,,,,,,,,,,,,alarm
freq,112856,,,,,,,,,,,,,,,,,,,,,,,,,,235662
mean,,39.14050631837123,0.44572735528001967,3.3071644983068973,5.807639755242678,0.013201110064414288,0.0814514007349509,0.00973852381801054,0.009161426110276583,0.011283108859298487,0.17037536811195694,0.005499401685464776,0.8551442319932785,0.7265660140370531,0.14663798151589988,0.23641486535801276,0.7826123855352157,0.4042824044606258,0.03399784437032699,0.31643625192012287,0.22343441029949673,0.07786575688910388,0.20365608371311456,0.10809973606266603,0.019370963498569985,6.030688019281853,
std,,22.459609764708123,0.4970468070333055,2.799522611591885,1.0713072075794416,0.1141354284845976,0.2735276723309476,0.09820247396939809,0.09527608777228652,0.10562124621545958,0.3759630325507483,0.07395391452994665,0.35195610538921407,0.44572265402063915,0.3537454097085106,0.4248807395300039,0.4124693460973151,0.49075366924024044,0.18122397829663892,0.46508630194102657,0.41654796946971423,0.2679607909368497,0.4027169868193918,0.31050699226942097,0.13782528751238396,13.104989698614967,
min,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,,21.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
50%,,38.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
75%,,56.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,
max,,110.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.0,
